,,,,,,Scoring,Scoring,Scoring,,,,,Special Teams,Special Teams,,Assists,Assists,Assists,Shot Data,Shot Data,Ice Time,Ice Time,,,,,
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
310,Claude Giroux\giroucl01,34,TOT,C,59,18,28,46,-10,22,4.2,15,3,0,0,17,11,0,163,11,1133,19:12,15,52,606,391,60.8
310,Claude Giroux\giroucl01,34,PHI,C,57,18,24,42,-12,20,3.8,15,3,0,0,15,9,0,154,11.7,1096,19:14,15,48,587,377,60.9
310,Claude Giroux\giroucl01,34,FLA,C,2,0,4,4,2,2,0.4,0,0,0,0,2,2,0,9,0,37,18:33,0,4,19,14,57.6
311,Cody Glass\glassco01,22,NSH,C,4,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,5,0,49,12:19,3,2,7,19,26.9
312,Luke Glendening\glendlu01,32,DAL,C,64,8,4,12,-14,13,0.1,8,0,0,1,4,0,0,85,9.4,895,13:59,44,144,331,229,59.1
313,Alex Goligoski\goligal01,36,MIN,D,58,2,26,28,34,32,5.4,2,0,0,0,22,4,0,66,3,1102,19:00,75,46,0,0,
314,Barclay Goodrow\goodrba01,28,NYR,RW,62,13,12,25,12,42,2.6,12,0,1,2,11,0,1,94,13.8,1053,16:59,46,103,279,300,48.2
315,Shayne Gostisbehere\gostish01,28,ARI,D,64,10,30,40,-12,20,5.3,9,1,0,0,17,13,0,124,8.1,1413,22:05,89,35,0,0,
316,Yanni Gourde\gourdya01,30,SEA,C,57,16,22,38,-11,36,3.3,12,3,1,1,15,4,3,98,16.3,1061,18:37,25,62,325,337,49.1
317,Mikael Granlund\granlmi01,29,NSH,C,63,9,39,48,-4,29,3.2,6,3,0,2,20,19,0,97,9.3,1292,20:30,33,60,456,495,47.9
318,Derek Grant\grantde01,31,ANA,C,59,11,7,18,-16,27,1.1,8,2,1,1,6,0,1,98,11.2,834,14:08,40,59,171,160,51.7
319,Ryan Graves\gravery01,26,NJD,D,60,6,21,27,-7,24,3.9,6,0,0,0,21,0,0,99,6.1,1242,20:42,108,74,0,0,
320,Anthony Greco\grecoan01,28,NYR,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,9:44,1,1,0,0,
321,Andy Greene\greenan01,39,NYI,D,52,2,7,9,-10,6,1.6,2,0,0,0,7,0,0,39,5.1,912,17:32,93,28,0,0,
322,Jordan Greenway\greenjo02,24,MIN,LW,50,7,11,18,18,61,1.6,6,1,0,3,11,0,0,85,8.2,725,14:30,25,127,16,27,37.2
323,A.J. Greer\greeraj01,25,NJD,LW,4,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,0,28,7:05,1,8,0,1,0
324,Noah Gregor\gregono01,23,SJS,C,46,4,10,14,-12,12,0.4,4,0,0,1,8,2,0,114,3.5,694,15:06,38,88,8,20,28.6
325,Seth Griffith\griffse01,29,EDM,C,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,6,5:37,0,1,0,0,
326,Rocco Grimaldi\grimaro01,28,NSH,C,7,0,0,0,0,2,-0.1,0,0,0,0,0,0,0,8,0,77,10:56,0,5,6,3,66.7
327,Jordan Gross\grossjo01,26,COL,D,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,,8,8:19,0,1,0,0,
328,Benoit-Olivier Groulx\groulbe01,21,ANA,C,18,1,2,3,0,2,0.1,1,0,0,0,2,0,0,17,5.9,198,11:00,6,19,38,45,45.8
329,Carl Grundstrom\grundca01,24,LAK,RW,43,7,4,11,2,16,1.2,7,0,0,1,4,0,0,66,10.6,469,10:55,13,101,4,7,36.4
330,Matt Grzelcyk\grzelma01,28,BOS,D,58,3,17,20,19,20,4.9,3,0,0,2,12,5,0,94,3.2,1093,18:51,72,31,0,0,
331,Radko Gudas\gudasra01,31,FLA,D,62,1,11,12,24,84,2.9,1,0,0,0,11,0,0,82,1.2,1144,18:28,97,286,0,0,
332,Erik Gudbranson\gudbrer01,30,CGY,D,65,5,10,15,14,61,3.8,5,0,0,0,10,0,0,106,4.7,1182,18:11,76,125,0,0,
333,Jake Guentzel\guentja01,27,PIT,C,60,31,33,64,7,38,7.5,25,6,0,6,20,13,0,209,14.8,1194,19:54,33,56,12,10,54.5
334,Brendan Guhle\guhlebr01,24,ANA,D,6,0,0,0,0,0,0.1,0,0,0,0,0,0,0,6,0,88,14:40,4,11,0,0,
335,Denis Gurianov\guriade01,24,DAL,RW,60,11,18,29,4,16,2.7,7,4,0,2,15,3,0,129,8.5,860,14:20,28,59,0,0,
336,David Gustafsson\gustada01,21,WPG,C,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,2:28,0,0,0,4,0
337,Erik Gustafsson\gustaer02,29,CHI,D,49,2,14,16,-2,12,2.6,2,0,0,0,10,4,0,63,3.2,774,15:48,44,38,0,0,
338,Brandon Hagel\hagelbr01,23,TOT,LW,59,22,16,38,-15,23,3.8,17,4,1,3,13,2,1,98,22.4,1009,17:06,25,43,13,19,40.6
338,Brandon Hagel\hagelbr01,23,CHI,LW,55,21,16,37,-14,23,3.7,17,4,0,3,13,2,1,94,22.3,961,17:28,25,42,12,19,38.7
338,Brandon Hagel\hagelbr01,23,TBL,LW,4,1,0,1,-1,0,0.1,0,0,1,0,0,0,0,4,25,48,12:03,0,1,1,0,100
339,Carl Hagelin\hagelca01,33,WSH,LW,53,3,11,14,10,20,0.8,3,0,0,1,10,0,1,71,4.2,755,14:14,12,32,4,10,28.6
340,Robert Hagg\haggro01,26,TOT,D,50,1,8,9,-8,25,1.3,1,0,0,0,8,0,0,47,2.1,840,16:48,91,100,0,0,
340,Robert Hagg\haggro01,26,BUF,D,48,1,7,8,-9,25,1.1,1,0,0,0,7,0,0,45,2.2,817,17:01,91,97,0,0,
340,Robert Hagg\haggro01,26,FLA,D,2,0,1,1,1,0,0.2,0,0,0,0,1,0,0,2,0,23,11:35,0,3,0,0,
341,Nicolas Hague\hagueni01,23,VEG,D,52,4,10,14,6,38,3,4,0,0,0,10,0,0,116,3.4,970,18:39,80,57,0,0,
342,Libor Hajek\hajekli01,23,NYR,D,16,0,1,1,-7,8,-0.2,0,0,0,0,1,0,0,12,0,202,12:38,24,7,0,0,
343,Jani Hakanpaa\hakanja01,29,DAL,D,63,2,6,8,4,43,2.6,2,0,0,0,6,0,0,51,3.9,1034,16:24,91,192,0,0,
344,Jayden Halbgewachs\halbgja01,24,SJS,F,3,0,1,1,1,4,0.1,0,0,0,0,1,0,0,7,0,39,13:06,0,3,0,0,
345,Taylor Hall\hallta02,30,BOS,LW,65,14,35,49,3,30,4.6,8,6,0,2,28,7,0,169,8.3,1065,16:23,30,42,12,16,42.9
346,Dougie Hamilton\hamildo01,28,NJD,D,45,9,18,27,-10,28,3.7,7,2,0,1,12,6,0,147,6.1,954,21:12,73,57,0,0,
347,Travis Hamonic\hamontr01,31,TOT,D,26,3,4,7,3,6,1.7,3,0,0,0,4,0,0,54,5.6,478,18:23,58,38,0,0,
347,Travis Hamonic\hamontr01,31,VAN,D,24,3,4,7,1,6,1.5,3,0,0,0,4,0,0,51,5.9,441,18:22,55,30,0,0,
347,Travis Hamonic\hamontr01,31,OTT,D,2,0,0,0,2,0,0.2,0,0,0,0,0,0,0,3,0,37,18:33,3,8,0,0,
348,Noah Hanifin\hanifno01,25,CGY,D,64,6,25,31,19,19,5.9,6,0,0,0,16,9,0,147,4.1,1344,21:00,68,45,0,0,
349,Joel Hanley\hanlejo01,30,DAL,D,32,1,2,3,-6,2,0.4,1,0,0,0,2,0,0,10,10,346,10:49,31,41,0,0,
350,Mike Hardman\hardmmi01,22,CHI,RW,21,0,2,2,-6,11,-0.3,0,0,0,0,2,0,0,12,0,195,9:18,12,60,1,1,50
