,,,,,,Scoring,Scoring,Scoring,,,,,Special Teams,Special Teams,,Assists,Assists,Assists,Shot Data,Shot Data,Ice Time,Ice Time,,,,,
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
534,Jon Lizotte\lizotjo01,27,MIN,D,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,15,14:43,4,3,0,0,
535,William Lockwood\lockwwi01,23,VAN,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,8:04,0,3,0,0,
536,Ryan Lomberg\lombery01,27,FLA,LW,43,5,7,12,6,63,0.8,5,0,0,1,6,0,1,74,6.8,491,11:25,6,101,1,5,16.7
537,Steven Lorentz\lorenst01,25,CAR,C,58,7,5,12,-1,8,0.8,7,0,0,1,5,0,0,68,10.3,646,11:08,10,58,45,52,46.4
538,Adam Lowry\lowryad01,28,WPG,LW,63,10,7,17,3,42,1.1,7,0,3,0,3,2,2,85,11.8,971,15:25,31,194,433,385,52.9
539,Milan Lucic\lucicmi01,33,CGY,LW,65,10,9,19,-6,71,1.2,8,2,0,0,8,1,0,77,13,822,12:39,20,160,11,9,55
540,Matt Luff\luffma01,24,NSH,RW,16,3,3,6,4,2,0.8,3,0,0,1,3,0,0,17,17.6,147,9:12,1,23,2,0,100
541,Anton Lundell\lundean01,20,FLA,C,52,14,24,38,30,16,4.3,13,1,0,3,19,3,2,97,14.4,838,16:07,47,25,293,347,45.8
542,Isac Lundestrom\lundeis01,22,ANA,C,65,14,12,26,-2,6,2.4,10,0,4,2,12,0,0,69,20.3,1016,15:38,46,31,336,405,45.3
543,Nils Lundkvist\lundkni01,21,NYR,D,25,1,3,4,4,0,1.2,0,1,0,0,2,1,0,32,3.1,348,13:56,15,15,0,0,
544,Eetu Luostarinen\luostee01,23,FLA,C,60,9,10,19,3,10,1,7,0,2,4,10,0,0,70,12.9,819,13:39,41,86,262,384,40.6
545,Ilya Lyubushkin\lyubuil01,27,TOT,D,61,0,10,10,-4,34,1.6,0,0,0,0,9,0,1,42,0,1081,17:44,74,142,0,0,
545,Ilya Lyubushkin\lyubuil01,27,ARI,D,46,0,9,9,-6,26,1.2,0,0,0,0,8,0,1,33,0,833,18:06,60,94,0,0,
545,Ilya Lyubushkin\lyubuil01,27,TOR,D,15,0,1,1,2,8,0.4,0,0,0,0,1,0,0,9,0,249,16:34,14,48,0,0,
546,Olli Maatta\maattol01,27,LAK,D,52,1,5,6,20,10,3.1,1,0,0,0,5,0,0,54,1.9,960,18:28,77,53,0,0,
547,Matias Maccelli\maccema01,21,ARI,LW,11,1,4,5,-2,4,0.3,1,0,0,0,4,0,0,2,50,151,13:42,4,5,0,0,
548,Kurtis MacDermid\macdeku01,27,COL,D,49,2,2,4,3,72,0.9,2,0,0,0,2,0,0,41,4.9,360,7:21,20,86,0,0,
549,Jacob MacDonald\macdoja02,28,COL,D,7,0,0,0,-2,2,-0.1,0,0,0,0,0,0,0,11,0,61,8:43,3,8,0,0,
550,Mackenzie MacEachern\maceama01,27,STL,LW,7,0,1,1,0,2,0,0,0,0,0,1,0,0,7,0,58,8:18,0,8,0,0,
551,Zack MacEwen\macewza01,25,PHI,C,63,2,4,6,-14,96,-0.7,2,0,0,1,4,0,0,69,2.9,601,9:32,31,135,13,16,44.8
552,Ryan MacInnis\macinry01,25,BUF,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,10:00,0,0,0,0,
553,Nathan MacKinnon\mackina01,26,COL,C,50,22,48,70,16,29,7.5,16,6,0,5,30,18,0,238,9.2,1053,21:04,35,45,284,331,46.2
554,Josh Mahura\mahurjo01,23,ANA,D,28,1,3,4,-10,8,0.2,1,0,0,0,3,0,0,21,4.8,384,13:42,40,46,0,0,
555,Cale Makar\makarca01,23,COL,D,61,24,49,73,37,14,12.7,18,6,0,5,28,21,0,183,13.1,1552,25:26:00,83,74,0,0,
556,Beck Malenstyn\malenbe01,23,WSH,LW,12,1,0,1,2,9,0.1,1,0,0,0,0,0,0,10,10,109,9:03,7,34,1,6,14.3
557,Evgeni Malkin\malkiev01,35,PIT,C,29,13,15,28,-5,18,2.9,6,7,0,3,7,8,0,89,14.6,529,18:14,9,12,112,147,43.2
558,Brad Malone\malonbr01,32,EDM,C,8,1,1,2,-2,2,0.1,1,0,0,0,1,0,0,7,14.3,66,8:17,1,22,13,14,48.1
559,Jeff Malott\malotje01,25,WPG,F,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,4,4:06,0,3,0,0,
560,Mikhail Maltsev\maltsmi01,23,COL,LW,18,0,0,0,-5,2,-0.5,0,0,0,0,0,0,0,23,0,145,8:04,2,31,44,32,57.9
561,Maxim Mamin\maminma01,27,FLA,C,30,5,5,10,11,11,1.1,5,0,0,0,5,0,0,37,13.5,364,12:08,15,43,0,0,
562,Andrew Mangiapane\mangian01,25,CGY,LW,65,30,15,45,19,28,6.3,21,7,2,7,12,2,1,149,20.1,1031,15:52,29,56,20,25,44.4
563,Josh Manson\mansojo01,30,TOT,D,50,4,6,10,-1,57,2.5,4,0,0,0,6,0,0,67,6,971,19:25,52,134,0,0,
563,Josh Manson\mansojo01,30,ANA,D,45,4,5,9,0,53,2.4,4,0,0,0,5,0,0,61,6.6,889,19:45,45,116,0,0,
563,Josh Manson\mansojo01,30,COL,D,5,0,1,1,-1,4,0.1,0,0,0,0,1,0,0,6,0,82,16:26,7,18,0,0,
564,Anthony Mantha\manthan01,27,WSH,RW,22,7,7,14,-1,12,1.5,7,0,0,0,5,2,0,53,13.2,337,15:19,13,24,0,0,
565,Brad Marchand\marchbr03,33,BOS,LW,54,28,37,65,6,71,7.7,19,7,2,6,18,19,0,186,15.1,1041,19:17,16,59,9,15,37.5
566,Jonathan Marchessault\audymjo01,31,VEG,C,62,25,28,53,-1,32,5.9,20,5,0,3,14,14,0,213,11.7,1086,17:31,12,49,38,50,43.2
567,Mason Marchment\marchma01,26,FLA,F,39,14,22,36,27,35,4.7,13,1,0,1,21,1,0,85,16.5,540,13:51,6,83,7,25,21.9
568,John Marino\marinjo01,24,PIT,D,66,1,19,20,-3,21,3.3,1,0,0,0,16,2,1,75,1.3,1371,20:47,68,64,0,0,
569,Mitch Marner\marnemi01,24,TOR,RW,55,27,44,71,14,10,8,20,5,2,5,31,12,1,165,16.4,1145,20:49,26,42,4,6,40
570,Cooper Marody\marodco01,25,EDM,C,1,0,1,1,0,0,0.1,0,0,0,0,1,0,0,1,0,6,6:04,0,0,0,0,
571,Pat Maroon\maroopa01,33,TBL,LW,63,9,13,22,15,90,2.2,6,3,0,0,11,2,0,81,11.1,792,12:34,7,120,11,13,45.8
572,Matt Martin\martima02,32,NYI,LW,52,2,2,4,1,53,-0.2,2,0,0,0,2,0,0,49,4.1,601,11:33,19,186,7,7,50
573,Alec Martinez\martial01,34,VEG,D,12,0,3,3,2,4,0.6,0,0,0,0,3,0,0,12,0,234,19:28,35,12,0,0,
574,Jordan Martinook\martijo01,29,CAR,LW,44,3,7,10,2,16,0.6,3,0,0,1,7,0,0,52,5.8,494,11:13,10,61,9,12,42.9
575,Mike Matheson\mathemi01,27,PIT,D,58,9,16,25,8,20,5.1,9,0,0,5,15,1,0,100,9,1079,18:36,62,82,0,0,
576,Stefan Matteau\mattest02,27,COL,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,3:39,0,0,0,0,
577,Auston Matthews\matthau01,24,TOR,C,59,47,34,81,10,14,10.6,34,13,0,6,24,10,0,271,17.3,1212,20:32,46,53,561,416,57.4
578,Scott Mayfield\mayfisc01,29,NYI,D,61,3,15,18,-5,55,3.3,3,0,0,2,14,0,1,80,3.8,1206,19:47,109,77,0,0,
579,Gerald Mayhew\mayhege01,29,TOT,F,28,7,0,7,-4,14,0.7,6,1,0,0,0,0,0,36,19.4,353,12:36,21,43,2,3,40
579,Gerald Mayhew\mayhege01,29,PHI,F,25,6,0,6,-5,10,0.5,5,1,0,0,0,0,0,31,19.4,304,12:09,17,37,2,3,40
579,Gerald Mayhew\mayhege01,29,ANA,F,3,1,0,1,1,4,0.2,1,0,0,0,0,0,0,5,20,49,16:21,4,6,0,0,
580,Dysin Mayo\mayody01,25,ARI,D,55,4,7,11,-6,19,2.1,4,0,0,0,7,0,0,65,6.2,1148,20:53,113,94,0,0,
581,Charlie McAvoy\mcavoch01,24,BOS,D,62,8,34,42,13,52,7.6,3,4,1,3,19,15,0,130,6.2,1522,24:33:00,101,123,0,0,
582,Jake McCabe\mccabja01,28,CHI,D,59,3,14,17,-20,21,2,3,0,0,0,14,0,0,57,5.3,1195,20:15,130,133,0,0,
583,Jared McCann\mccanja01,25,SEA,C,57,23,14,37,-23,12,3.7,15,8,0,1,9,5,0,157,14.6,923,16:11,21,55,214,260,45.1
584,Michael McCarron\mccarmi01,26,NSH,RW,42,4,7,11,11,65,1.1,4,0,0,1,6,1,0,43,9.3,432,10:18,28,104,136,131,50.9
585,Ben McCartney\mccarbe02,20,ARI,F,2,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,28,14:03,0,7,0,1,0
586,Max McCormick\mccorma01,29,SEA,LW,10,0,0,0,1,10,-0.1,0,0,0,0,0,0,0,8,0,81,8:06,3,11,2,2,50
587,Connor McDavid\mcdavco01,25,EDM,C,65,35,62,97,14,39,10.7,27,8,0,6,31,30,1,249,14.1,1451,22:19,23,62,451,381,54.2
588,Ryan McDonagh\mcdonry01,32,TBL,D,60,3,18,21,7,16,4,3,0,0,0,17,1,0,75,4,1356,22:36,116,82,0,1,0
589,Brock McGinn\mcginbr01,27,PIT,LW,56,11,7,18,-1,10,1.4,11,0,0,2,7,0,0,91,12.1,842,15:02,44,85,15,28,34.9
590,Greg McKegg\mckeggr01,29,NYR,C,39,2,3,5,-8,4,-0.3,2,0,0,0,2,0,1,23,8.7,426,10:56,22,46,64,83,43.5
591,Michael McLeod\mcleomi01,23,NJD,C,61,6,9,15,-12,44,0.2,6,0,0,0,8,0,1,70,8.6,848,13:54,27,112,518,379,57.7
592,Ryan McLeod\mcleory01,22,EDM,C,55,6,9,15,-6,12,0.6,6,0,0,0,6,3,0,61,9.8,708,12:53,18,15,195,212,47.9
593,Connor McMichael\mcmicco01,21,WSH,C,62,9,9,18,-1,8,1.6,9,0,0,0,9,0,0,97,9.3,650,10:29,19,39,122,172,41.5
594,Brayden McNabb\mcnabbr01,31,VEG,D,55,2,9,11,5,34,2.5,2,0,0,0,9,0,0,62,3.2,1085,19:43,141,113,0,0,
595,Mason Mctavish\mctavma01,19,ANA,C,9,2,1,3,3,2,0.4,2,0,0,1,0,1,0,12,16.7,118,13:05,6,8,0,3,0
596,Jaycob Megna\megnaja02,29,SJS,D,28,1,1,2,-1,12,1,1,0,0,0,1,0,0,24,4.2,516,18:25,55,46,0,0,
597,Jayson Megna\megnaja01,31,COL,C,20,0,3,3,-2,4,-0.2,0,0,0,0,3,0,0,19,0,206,10:18,9,27,56,60,48.3
598,Timo Meier\meierti01,25,SJS,RW,60,30,35,65,5,34,8,18,12,0,8,31,4,0,256,11.7,1146,19:06,41,115,11,16,40.7
599,Nicolas Meloche\melocni01,24,SJS,D,35,2,4,6,-7,24,1.2,2,0,0,1,4,0,0,24,8.3,576,16:28,38,106,0,0,
600,Dawson Mercer\merceda01,20,NJD,C,65,16,21,37,-4,20,3.3,13,2,1,2,17,3,1,123,13,1061,16:20,30,19,170,317,34.9
601,Nicholas Merkley\merklni01,24,SJS,RW,9,1,2,3,-2,0,0.2,1,0,0,0,1,1,0,7,14.3,112,12:25,2,9,6,5,54.5
602,Ryan Merkley\merklry01,21,SJS,D,26,1,3,4,-2,6,1,1,0,0,0,2,1,0,26,3.8,407,15:39,12,8,0,0,
603,Dakota Mermis\mermida01,28,MIN,D,2,0,0,0,2,0,0.1,0,0,0,0,0,0,0,1,0,28,13:54,1,3,0,0,
604,Jonathon Merrill\merrijo01,29,MIN,D,60,4,14,18,15,18,3.2,4,0,0,0,14,0,0,56,7.1,1037,17:17,98,39,0,0,
605,Victor Mete\metevi01,23,OTT,D,34,0,7,7,-18,4,0,0,0,0,0,6,1,0,22,0,509,14:58,37,12,0,0,
606,Jacob Middleton\middlja01,26,TOT,D,47,3,6,9,2,69,2.7,3,0,0,0,4,1,1,54,5.6,890,18:56,92,95,0,0,
606,Jacob Middleton\middlja01,26,SJS,D,45,3,6,9,3,69,2.7,3,0,0,0,4,1,1,51,5.9,857,19:03,89,89,0,0,
606,Jacob Middleton\middlja01,26,MIN,D,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,3,0,33,16:22,3,6,0,0,
607,Ilya Mikheyev\mikheil01,27,TOR,F,35,13,5,18,7,18,2.4,8,2,3,4,4,1,0,105,12.4,516,14:45,10,26,0,0,
608,Niko Mikkola\mikkoni01,25,STL,D,49,3,8,11,-3,51,1.6,2,0,1,0,8,0,0,56,5.4,858,17:30,74,103,0,0,
609,Sonny Milano\milanso01,25,ANA,LW,51,12,18,30,-11,6,2.6,7,5,0,2,14,4,0,78,15.4,780,15:18,14,20,0,1,0
610,Colin Miller\milleco02,29,BUF,D,36,2,12,14,-1,21,2.3,2,0,0,0,9,3,0,46,4.3,689,19:08,40,45,0,0,
611,J.T. Miller\millejt01,28,VAN,C,65,28,52,80,9,39,8.8,21,7,0,6,24,26,2,167,16.8,1363,20:58,44,146,523,452,53.6
612,K'Andre Miller\milleka01,22,NYR,D,65,5,9,14,11,20,4.3,4,1,0,1,9,0,0,77,6.5,1323,20:21,75,105,0,0,
613,Daniil Miromanov\miromda01,24,VEG,D,11,0,1,1,0,2,0.2,0,0,0,0,1,0,0,15,0,108,9:47,6,5,0,0,
614,Ian Mitchell\mitchia01,23,CHI,D,8,0,1,1,-3,0,0,0,0,0,0,0,1,0,2,0,95,11:56,9,2,0,0,
615,Casey Mittelstadt\mitteca01,23,BUF,C,23,3,6,9,-13,2,0.2,2,1,0,0,4,2,0,43,7,368,16:01,10,8,116,145,44.4
616,Sean Monahan\monahse01,27,CGY,C,63,8,14,22,-16,24,0.8,3,5,0,2,6,8,0,108,7.4,892,14:09,22,55,401,359,52.8
617,Brandon Montour\montobr01,27,FLA,D,63,7,18,25,6,38,3.4,6,1,0,0,11,7,0,118,5.9,1094,17:22,53,37,0,0,
618,John Moore\moorejo01,31,BOS,D,7,0,1,1,2,4,0.4,0,0,0,0,0,0,1,7,0,123,17:34,11,9,0,0,
619,Trevor Moore\mooretr01,26,LAK,LW,67,13,28,41,20,14,4.6,8,1,4,1,27,1,0,155,8.4,1026,15:19,25,61,25,34,42.4
620,Josh Morrissey\morrijo04,26,WPG,D,63,11,18,29,-1,56,4.9,5,6,0,3,11,7,0,142,7.7,1482,23:31,83,121,0,0,
621,Janis Moser\moserja01,21,ARI,D,33,3,9,12,-1,12,2,2,1,0,1,9,0,0,29,10.3,603,18:17,36,25,0,0,
622,Tyler Motte\mottety01,26,TOT,C,51,7,8,15,4,22,1.2,6,0,1,1,8,0,0,88,8,725,14:12,53,98,9,6,60
622,Tyler Motte\mottety01,26,VAN,C,49,7,8,15,3,22,1.2,6,0,1,1,8,0,0,83,8.4,700,14:17,51,90,6,6,50
622,Tyler Motte\mottety01,26,NYR,C,2,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,25,12:26,2,8,3,0,100
623,Jacob Moverare\moverja01,23,LAK,D,12,0,1,1,2,2,0.4,0,0,0,0,1,0,0,8,0,207,17:14,12,10,0,0,
624,Connor Murphy\murphco02,28,CHI,D,57,4,6,10,-14,47,1.9,4,0,0,1,6,0,0,71,5.6,1240,21:45,150,130,0,0,
625,Brett Murray\murrabr02,23,BUF,LW,19,2,4,6,-3,23,0.3,2,0,0,0,3,1,0,14,14.3,247,12:59,2,17,0,0,
626,Ryan Murray\murrary01,28,COL,D,37,0,4,4,-3,2,0.3,0,0,0,0,3,0,1,26,0,521,14:05,41,32,0,0,
627,Jake Muzzin\muzzija01,32,TOR,D,41,2,10,12,-8,12,1.3,2,0,0,0,9,0,1,61,3.3,861,21:00,53,84,0,0,
628,Philippe Myers\myersph01,25,NSH,D,27,1,3,4,5,12,1.2,1,0,0,0,3,0,0,28,3.6,402,14:53,17,50,0,0,
629,Tyler Myers\myersty01,31,VAN,D,67,1,14,15,11,54,4,1,0,0,0,13,1,0,106,0.9,1496,22:19,131,124,0,0,
630,Vladislav Namestnikov\namesvl01,29,TOT,C,62,13,12,25,-1,41,2.1,12,0,1,0,12,0,0,82,15.9,936,15:06,32,45,11,10,52.4
630,Vladislav Namestnikov\namesvl01,29,DET,C,60,13,12,25,1,34,2.3,12,0,1,0,12,0,0,81,16,914,15:14,32,43,10,10,50
630,Vladislav Namestnikov\namesvl01,29,DAL,C,2,0,0,0,-2,7,-0.1,0,0,0,0,0,0,0,1,0,22,11:04,0,2,1,0,100
631,Riley Nash\nashri02,32,TOT,C,49,0,4,4,-5,10,-0.8,0,0,0,0,4,0,0,36,0,560,11:26,17,46,207,190,52.1
631,Riley Nash\nashri02,32,ARI,C,24,0,4,4,-3,4,-0.3,0,0,0,0,4,0,0,20,0,314,13:05,9,25,149,139,51.7
631,Riley Nash\nashri02,32,WPG,C,15,0,0,0,-1,4,-0.3,0,0,0,0,0,0,0,7,0,132,8:49,5,11,21,18,53.8
631,Riley Nash\nashri02,32,TBL,C,10,0,0,0,-1,2,-0.2,0,0,0,0,0,0,0,9,0,114,11:22,3,10,37,33,52.9
632,James Neal\nealja01,34,STL,LW,19,2,2,4,-1,0,0.1,1,1,0,1,1,1,0,31,6.5,227,11:58,3,17,0,2,0
633,Martin Necas\necasma01,23,CAR,C,61,11,21,32,4,22,2.8,8,2,1,5,19,2,0,116,9.5,994,16:18,17,49,29,38,43.3
634,Jake Neighbours\neighja01,19,STL,LW,9,1,1,2,-2,2,0.1,1,0,0,1,1,0,0,8,12.5,84,9:21,1,10,1,2,33.3
635,Brock Nelson\nelsobr01,30,NYI,C,54,30,15,45,1,33,6,22,8,0,5,12,3,0,132,22.7,954,17:40,37,28,362,367,49.7
636,Patrik Nemeth\nemetpa01,29,NYR,D,51,2,2,4,-10,24,0.9,2,0,0,1,2,0,0,48,4.2,864,16:57,85,94,0,0,
637,Alex Newhook\newhoal01,21,COL,C,55,11,12,23,6,10,2.1,8,3,0,4,10,2,0,93,11.8,759,13:48,24,33,115,226,33.7
638,Valeri Nichushkin\nichuva01,26,COL,RW,47,17,20,37,18,10,4.2,12,3,2,4,16,4,0,127,13.4,866,18:26,23,69,0,5,0
639,Nino Niederreiter\niedeni01,29,CAR,RW,58,20,14,34,18,18,4.6,16,4,0,4,13,1,0,113,17.7,845,14:34,13,91,9,18,33.3
640,Markus NiemelÑinen\niemema01,23,EDM,D,20,0,1,1,-5,4,-0.1,0,0,0,0,1,0,0,12,0,264,13:12,19,82,0,0,
641,Matthew Nieto\nietoma01,29,SJS,LW,54,5,7,12,-20,13,-0.1,5,0,0,0,7,0,0,56,8.9,762,14:06,38,78,2,11,15.4
642,Sami Niku\nikusa01,25,MTL,D,13,0,6,6,3,2,1,0,0,0,0,5,1,0,14,0,199,15:17,17,6,0,0,
643,Stefan Noesen\noesest01,28,CAR,RW,2,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,29,14:20,0,5,0,0,
644,Mattias Norlinder\norlima01,21,MTL,D,6,0,1,1,2,2,0.3,0,0,0,0,1,0,0,2,0,74,12:18,3,4,0,0,
645,Joshua Norris\norrijo01,22,OTT,C,49,26,12,38,-10,12,4.7,13,13,0,7,10,2,0,122,21.3,901,18:24,38,63,393,377,51
646,Tomas Nosek\nosekto01,29,BOS,C,59,3,11,14,-10,26,0.1,3,0,0,1,9,0,2,59,5.1,805,13:38,26,62,298,261,53.3
647,Thomas Novak\novakth01,24,NSH,C,27,1,6,7,-4,2,0.1,0,1,0,0,3,3,0,25,4,318,11:48,6,4,62,79,44
648,Ryan Nugent-Hopkins\nugenry01,28,EDM,C,47,8,33,41,6,10,3.3,6,1,1,1,13,18,2,127,6.3,927,19:44,23,34,117,167,41.2
649,Darnell Nurse\nurseda01,26,EDM,D,59,7,21,28,11,46,5.1,6,0,1,0,15,6,0,175,4,1513,25:39:00,109,171,0,0,
650,Markus Nutivaara\nutivma01,27,FLA,D,1,0,1,1,0,0,0.1,0,0,0,0,1,0,0,0,,7,7:01,0,1,0,0,
651,William Nylander\nylanwi01,25,TOR,C,64,24,35,59,-13,12,5.5,16,8,0,4,20,15,0,208,11.5,1176,18:22,22,14,19,18,51.4
652,Gustav Nyquist\nyquigu01,32,CBJ,RW,66,16,24,40,-9,20,3,9,3,4,0,21,3,0,91,17.6,1147,17:22,43,34,12,15,44.4
653,Liam O'Brien\obrieli01,27,ARI,C,37,2,1,3,1,106,-0.1,2,0,0,0,1,0,0,33,6.1,349,9:25,10,131,5,5,50
654,Drew O'Connor\oconndr01,23,PIT,F,22,3,2,5,-1,4,0.4,3,0,0,0,2,0,0,40,7.5,226,10:17,7,12,18,34,34.6
655,Logan O'Connor\oconnlo01,25,COL,RW,65,6,14,20,11,29,1.1,5,0,1,1,11,0,3,112,5.4,949,14:36,52,77,5,15,25
656,Danny O'Regan\oregada01,28,ANA,C,5,0,1,1,-1,0,0,0,0,0,0,1,0,0,2,0,50,10:03,4,3,11,17,39.3
657,Ryan O'Reilly\oreilry01,30,STL,C,60,14,27,41,10,6,3.6,8,6,0,0,23,4,0,132,10.6,1168,19:28,29,17,692,552,55.6
658,Jordan Oesterle\oestejo01,29,DET,D,37,2,5,7,-2,4,1.3,2,0,0,1,5,0,0,57,3.5,701,18:56,38,17,0,0,
659,Kyle Okposo\okposky01,33,BUF,RW,59,15,21,36,-12,39,3.2,8,6,1,1,15,6,0,145,10.3,999,16:56,14,45,84,79,51.5
660,Jamie Oleksiak\oleksja01,29,SEA,D,55,1,13,14,4,43,2.9,1,0,0,0,12,0,1,73,1.4,1051,19:07,59,141,0,0,
661,Mathieu Olivier\olivima01,24,NSH,F,8,0,1,1,-2,12,-0.1,0,0,0,0,1,0,0,3,0,86,10:44,4,17,0,1,0
662,Victor Olofsson\olofsvi01,26,BUF,RW,55,12,18,30,-21,6,2.2,10,2,0,4,15,3,0,125,9.6,856,15:33,12,6,0,0,
663,Dmitry Orlov\orlovdm01,30,WSH,D,63,10,19,29,19,42,6.3,8,2,0,4,18,1,0,104,9.6,1323,21:00,80,109,0,0,
664,T.J. Oshie\oshietj01,35,WSH,C,29,8,12,20,-8,8,1.6,5,3,0,1,7,4,1,44,18.2,510,17:36,17,54,56,67,45.5
665,Alex Ovechkin\ovechal01,36,WSH,LW,65,42,36,78,7,16,9.9,27,14,1,5,24,12,0,286,14.7,1371,21:06,20,120,4,8,33.3
666,Brayden Pachal\pachabr01,22,VEG,D,2,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,1,0,20,9:46,1,2,0,0,
667,Max Pacioretty\pacioma01,33,VEG,LW,29,15,14,29,6,27,3.8,11,4,0,3,9,5,0,106,14.2,503,17:20,15,23,1,4,20
668,Jean-Gabriel Pageau\pageaje01,29,NYI,C,61,10,18,28,-1,28,2.1,7,2,1,0,13,3,2,97,10.3,1068,17:30,37,129,579,450,56.3
669,Ondrej Palat\palaton01,30,TBL,LW,59,15,21,36,10,18,3.6,14,1,0,5,16,4,1,113,13.3,1002,16:59,33,95,1,11,8.3
670,Kyle Palmieri\palmiky01,30,NYI,RW,50,11,12,23,-3,47,2.1,10,1,0,3,10,2,0,109,10.1,777,15:33,16,59,11,23,32.4
671,Artemi Panarin\panarar01,30,NYR,LW,60,16,58,74,7,16,7.3,11,5,0,5,32,26,0,143,11.2,1166,19:26,13,18,1,1,50
672,Richard Panik\panikri01,30,NYI,RW,4,0,1,1,-2,0,-0.1,0,0,0,0,0,1,0,4,0,60,14:55,2,9,1,1,50
673,Cedric Paquette\paquece01,28,MTL,C,24,0,2,2,-6,25,-0.4,0,0,0,0,2,0,0,16,0,213,8:52,14,58,31,73,29.8
674,Colton Parayko\parayco01,28,STL,D,62,6,19,25,2,14,4,6,0,0,2,18,1,0,111,5.4,1490,24:02:00,138,64,0,0,
675,Zach Parise\parisza01,37,NYI,LW,63,10,16,26,1,20,2.2,8,1,1,2,11,5,0,101,9.9,942,14:57,41,42,15,34,30.6
676,David Pastrnak\pastrda01,25,BOS,RW,65,37,29,66,8,18,8.4,24,13,0,9,20,9,0,287,12.9,1214,18:41,12,60,6,13,31.6
677,Greg Pateryn\patergr01,31,ANA,D,10,1,1,2,0,10,0.5,1,0,0,0,1,0,0,16,6.3,141,14:07,7,18,0,0,
678,Nolan Patrick\patrino01,23,VEG,C,25,2,5,7,1,6,0.4,2,0,0,0,4,1,0,34,5.9,288,11:30,3,26,83,89,48.3
679,Nick Paul\paulni01,26,TOT,LW,62,12,7,19,-18,24,0.9,10,2,0,1,7,0,0,135,8.9,1059,17:05,42,77,336,348,49.1
679,Nick Paul\paulni01,26,OTT,LW,59,11,7,18,-18,22,0.8,9,2,0,1,7,0,0,131,8.4,1025,17:22,41,67,333,346,49
679,Nick Paul\paulni01,26,TBL,LW,3,1,0,1,0,2,0.1,1,0,0,0,0,0,0,4,25,34,11:25,1,10,3,2,60
680,Joe Pavelski\paveljo01,37,DAL,C,64,24,42,66,12,14,7.4,13,11,0,1,33,9,0,172,14,1178,18:24,55,82,298,281,51.5
681,Chase Pearson\pearsch01,24,DET,C,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,8,7:40,0,3,1,0,100
682,Tanner Pearson\pearsta01,29,VAN,LW,63,13,20,33,12,30,3.4,12,1,0,2,18,2,0,147,8.8,1021,16:12,37,76,19,37,33.9
683,Matthew Peca\pecama01,28,STL,C,5,0,1,1,-1,0,0,0,0,0,0,1,0,0,3,0,48,9:38,1,3,5,7,41.7
684,Lane Pederson\pederla01,24,SJS,F,27,0,2,2,-14,10,-0.7,0,0,0,0,2,0,0,22,0,284,10:32,10,51,40,47,46
685,Andrew Peeke\peekean01,23,CBJ,D,66,1,12,13,-15,46,0.9,1,0,0,0,12,0,0,55,1.8,1407,21:19,138,151,0,0,
686,Adam Pelech\pelecad01,27,NYI,D,59,3,19,22,20,12,5.6,3,0,0,0,18,0,1,75,4,1255,21:16,97,83,0,0,
687,Cole Perfetti\perfeco01,20,WPG,C,18,2,5,7,1,0,0.5,2,0,0,1,4,1,0,21,9.5,255,14:09,2,17,0,3,0
688,Brendan Perlini\perlibr01,25,EDM,LW,23,4,1,5,-2,6,0.5,4,0,0,0,1,0,0,24,16.7,193,8:22,3,29,0,1,0
689,Jacob Perreault\perreja01,19,ANA,RW,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,0,,11,11:05,1,0,0,0,
690,Mathieu Perreault\perrema01,34,MTL,C,18,3,2,5,1,4,0.5,3,0,0,0,2,0,0,21,14.3,215,11:58,8,21,33,33,50
691,David Perron\perroda01,33,STL,LW,50,22,21,43,8,42,5,13,9,0,1,11,10,0,135,16.3,853,17:04,10,66,1,3,25
692,Corey Perry\perryco01,36,TBL,RW,64,16,17,33,7,53,3.6,12,4,0,3,16,1,0,117,13.7,865,13:31,23,58,0,2,0
693,Scott Perunovich\perunsc01,23,STL,D,19,0,6,6,2,8,0.9,0,0,0,0,3,3,0,14,0,294,15:27,12,5,0,0,
694,Brett Pesce\pescebr01,27,CAR,D,53,6,16,22,1,33,4.2,5,1,0,3,14,2,0,115,5.2,1158,21:51,74,32,0,0,
695,Nic Petan\petanni01,26,VAN,C,7,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,5,0,66,9:26,2,4,8,25,24.2
